,0
the,81337
a,40203
i,38837
and,34105
to,32237
is,23361
it,22070
of,21963
in,20788
that,20013
you,16642
for,15493
s,13400
with,11995
car,11834
t,11573
on,11555
but,10599
not,10204
my,9968
have,9429
as,9330
are,9061
be,8176
they,7232
or,7105
was,7076
if,6746
bmw,6514
at,6396
this,6075
like,5634
cars,5392
3,5352
all,5298
can,5294
an,5246
so,5225
more,5216
one,5035
me,4969
about,4963
would,4785
just,4750
than,4739
what,4610
has,4565
get,4393
tl,4368
will,4202
your,4139
out,3854
from,3793
there,3758
do,3712
don,3660
no,3605
think,3416
m,3414
when,3380
new,3310
up,3307
had,3074
we,3038
drive,3026
some,2917
better,2831
good,2809
2,2800
even,2762
acura,2705
series,2694
only,2690
well,2685
by,2684
their,2660
much,2659
5,2523
performance,2476
any,2455
g35,2422
other,2371
really,2370
people,2369
price,2357
over,2336
then,2321
which,2281
very,2271
how,2265
know,2257
its,2229
awd,2224
also,2219
too,2214
want,2211
lexus,2175
luxury,2167
audi,2140
now,2135
them,2133
way,2124
same,2123
driving,2101
ve,2088
time,2061
6,2036
here,2012
cts,1975
sedan,1972
back,1970
because,1960
most,1951
4,1935
who,1901
years,1889
still,1845
1,1841
see,1810
best,1803
were,1796
d,1793
buy,1791
say,1765
why,1764
make,1746
been,1741
engine,1734
did,1711
does,1686
manual,1682
could,1678
0,1646
those,1609
go,1594
infiniti,1593
am,1583
sport,1552
great,1546
re,1537
many,1513
these,1504
going,1502
interior,1502
ll,1501
should,1485
he,1439
year,1418
less,1408
sure,1407
class,1407
right,1388
rwd,1376
r,1373
off,1356
tsx,1331
speed,1313
said,1307
into,1305
look,1298
never,1282
take,1277
g,1276
power,1264
got,1261
miles,1251
test,1251
both,1247
need,1242
lot,1234
2022,1226
doesn,1214
handling,1207
edmunds,1199
fwd,1189
may,1188
down,1171
didn,1169
type,1167
two,1166
point,1165
since,1149
while,1146
hp,1137
first,1130
nice,1120
something,1112
feel,1110
thing,1108
little,1107
being,1103
after,1097
looking,1095
own,1089
around,1085
tires,1081
lease,1077
000,1074
every,1070
a4,1062
where,1060
mb,1059
335i,1058
few,1058
agree,1046
last,1041
330i,1020
dealer,1006
honda,1006
different,1001
us,997
maybe,995
vehicle,993
value,983
come,983
actually,981
package,979
nissan,977
probably,975
another,971
coupe,970
long,956
cost,944
again,942
however,942
money,941
used,937
though,929
big,923
c,919
old,917
sales,910
pretty,909
find,903
auto,902
far,897
getting,892
accord,891
before,890
60,876
model,876
sh,871
level,863
drove,857
etc,855
difference,855
road,853
deal,850
7,848
entry,848
isn,847
high,837
yes,833
made,831
least,831
bought,828
might,823
fun,815
put,815
makes,807
yet,802
next,799
transmission,799
torque,799
either,797
looks,797
course,796
believe,791
without,788
real,784
driven,782
top,780
end,780
regards,780
between,779
4xe,776
8,772
fact,772
ever,771
always,767
seems,765
sports,761
love,759
front,758
vs,757
let,754
bad,753
seats,752
enough,750
20,745
use,738
rear,737
line,734
such,729
keep,729
seat,728
quality,728
turbo,727
vehicles,726
22,726
guess,725
almost,725
his,714
order,712
bit,710
driver,709
anything,705
read,702
others,700
10,698
automatic,694
hard,694
experience,690
post,687
things,687
brand,685
nothing,684
day,683
mercedes,675
reliability,675
08,672
97,672
leather,671
com,670
is350,666
v,665
someone,665
give,663
gm,663
our,661
gas,658
market,657
msrp,649
vw,648
steering,647
9,646
diesel,642
ellps,641
current,637
problem,637
based,631
system,629
m3,624
sedans,624
